date,race_id,pred_top3,pred_top5,actual_top3,actual_top5,pred_pwin_top5
20250106,2025_0106_48_11,5|9|6,5|9|6|4|2,9|4|5,9|4|5,0.361504|0.115374|0.104953|0.084797|0.079355
20250106,2025_0106_54_01,8|1|5,8|1|5|3|2,8|5|3,8|5|3|2,0.176883|0.142320|0.132361|0.117922|0.115046
20250106,2025_0106_54_02,7|9|6,7|9|6|2|10,9|6,9|6|2|7,0.308128|0.184877|0.115548|0.098601|0.076126
20250106,2025_0106_54_03,4|8|1,4|8|1|2|7,7|8|2,7|8|2|4,0.205118|0.152285|0.141407|0.128856|0.124854
20250106,2025_0106_54_04,3|4|9,3|4|9|2|8,3,3|2,0.331729|0.114389|0.086538|0.081089|0.072980
20250106,2025_0106_54_05,10|4|8,10|4|8|5|1,10|4|8,10|4|8|1,0.133127|0.124786|0.120168|0.106879|0.095091
20250106,2025_0106_54_06,4|7|5,4|7|5|6|1,4|7|5,4|7|5,0.214022|0.156058|0.145654|0.106252|0.099877
20250106,2025_0106_54_07,5|4|6,5|4|6|2|3,6|4,6|4,0.159392|0.152462|0.144902|0.132827|0.093760
20250106,2025_0106_54_08,2|6|3,2|6|3|8|9,9|6,9|6|3,0.136526|0.129415|0.121243|0.119460|0.112944
20250106,2025_0106_54_09,2|1|3,2|1|3|5|8,3,3,0.117180|0.116250|0.108500|0.096445|0.089679
20250106,2025_0106_55_01,2|6|9,2|6|9|5|4,6|9,6|9,0.195973|0.110975|0.103143|0.099831|0.093320
20250106,2025_0106_55_02,2|8|3,2|8|3|7|6,6|2|3,6|2|3|8,0.153871|0.136774|0.126717|0.107710|0.106526
20250106,2025_0106_55_03,7|6|3,7|6|3|9|11,6|11|3,6|11|3|7,0.239105|0.103612|0.095642|0.090608|0.077017
20250106,2025_0106_55_04,2|11|7,2|11|7|9|6,11|9|2,11|9|2|6,0.141641|0.135444|0.116243|0.101617|0.096316
20250106,2025_0106_55_05,7|3|8,7|3|8|6|4,3,3|6|8,0.233561|0.116780|0.112610|0.100097|0.096903
20250106,2025_0106_55_06,6|8|3,6|8|3|4|10,3|6|10,3|6|10|4,0.113729|0.113729|0.109180|0.089786|0.083800
20250106,2025_0106_55_07,11|6|8,11|6|8|10|7,10|8|6,10|8|6|7|11,0.118668|0.113670|0.095691|0.095070|0.091433
20250106,2025_0106_55_08,6|8|10,6|8|10|7|1,6|10,6|10|1,0.170914|0.170914|0.085457|0.080430|0.072509
20250106,2025_0106_55_09,2|10|1,2|10|1|4|5,10|2,10|2,0.287666|0.085428|0.079636|0.076118|0.072783
20250106,2025_0106_55_10,10|7|8,10|7|8|6|11,10|7,10|7|8,0.242790|0.106220|0.103497|0.090126|0.075995
20250106,2025_0106_55_11,2|4|5,2|4|5|7|8,2|7|5,2|7|5|4,0.268923|0.192088|0.115253|0.110984|0.085826
20250106,2025_0106_55_12,7|8|2,7|8|2|1|10,2|8,2|8,0.332650|0.332650|0.055442|0.047521|0.045361
20250107,2025_0107_42_01,6|4|9,6|4|9|8|7,9,9|4|8,0.181806|0.121204|0.088686|0.079046|0.072723
20250107,2025_0107_42_02,2|6|1,2|6|1|7|10,6|10,6|10|2,0.123627|0.110295|0.101811|0.098902|0.098340
